Nome,Sigla,Logradouro,lat,lon,Abacate,Abóbora,Abobrinha,Acelga,Alface,Alho,Batata doce,Beterraba,Brócolis,Cebola,Cebolinha,Cenoura,Chuchu,Coentro,Couve-flor,Couve,Espinafre,Goiaba,Hortelã,Inhame,Limão,Manjericão,Maracujá,Milho verde,Morango,Pepino,Pimentão,Repolho verde,Repolho roxo,Salsa,Tangerina,Tomate,Vagem,Banana
Associação de agricultores familiares da eco comunidade do assentamento 15 de agosto,AFECA,São Sebastião,-15.96778843226439,-47.797184580201986,False,True,True,True,True,False,False,False,False,False,True,False,True,True,True,True,True,False,True,False,False,True,True,False,False,True,True,True,True,True,False,True,False,False
Associação agrícola do distrito federal e ride,AGRIFAM,Taguatinga,-15.845077432467845,-48.09006298752325,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True
Associação agrícola do distrito federal e ride,AGRIFAM,Gama,-16.010895763907747,-48.19137553141773,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
Associação agrícola do distrito federal e ride,AGRIFAM,Santa Maria,-16.02210635940884,-47.986225204278774,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
"Associação mista dos agricultores familiares, orgânicos e produtores rurais do df e entorno",AMISTA,Santa Maria,-16.022445866016103,-47.97128780260604,True,True,True,False,False,False,True,True,False,False,True,True,True,True,True,True,False,False,False,True,True,False,True,False,False,True,True,True,True,True,False,True,True,False
Associação dos produtores da agricultura familiar,ASPAF,Guará,-15.815543074509781,-47.98757000084461,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
Associação dos produtores da agricultura familiar,ASPAF,Núcleo Bandeirante,-15.891105816817026,-47.97583200232041,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Associação dos produtores da agricultura familiar,ASPAF,Plano Piloto,-15.818309446012448,-47.92109802601978,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Associação dos produtores rurais de alexandre gusmão,ASPAG,Brazlândia,-15.62779297528241,-48.174758288040636,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True
Associação dos produtores de hortigranjeiros do distrito federal,ASPHOR,Gama,-15.96438995541584,-48.16554953272398,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False
Associação dos produtores de hortigranjeiros do distrito federal,ASPHOR,Santa Maria,-16.030156516084975,-48.03290949574748,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Associação dos produtores de hortigranjeiros do distrito federal,ASPHOR,Plano Piloto,-15.791218667949416,-47.88771366236689,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Associação dos produtores rurais orgânicos e convencionais do distrito federal e entorno,ASPROC,Ceilândia,-15.789305179965645,-48.213228904466675,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Associação dos produtores rurais orgânicos e convencionais do distrito federal e entorno,ASPROC,Recanto das Emas,-15.960984898708181,-48.11559622169974,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Associação dos produtores rurais orgânicos e convencionais do distrito federal e entorno,ASPROC,Samambaia,-15.881515588082818,-48.14501797943107,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Associação dos produtores rurais orgânicos e convencionais do distrito federal e entorno,ASPROC,Paranoá,-15.784649282288255,-47.66375932263911,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Associação dos produtores rurais orgânicos e convencionais do distrito federal e entorno,ASPROC,Planaltina,-15.413159337375612,-47.61419280854606,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Associação dos produtores rurais novo horizonte betinho,ASPRONTE,Ceilândia,-15.834538486791782,-48.18555947267396,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Associação dos produtores rurais novo horizonte betinho,ASPRONTE,Recanto das Emas,-15.918237147468776,-48.152998269411306,True,False,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True,False,True,False,True,True,False
Associação dos trabalhadores rurais da agricultura familiar do assentamento chapadinha,ASTRAF,Guará,-15.807068838177504,-47.93713797326396,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True
Cooperativa mista da agricultura familiar do meio ambiente e da cultura do brasil,COOPBRASIL,Gama,-15.970282672946103,-48.202978080533384,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Cooperativa mista da agricultura familiar do meio ambiente e da cultura do brasil,COOPBRASIL,Recanto das Emas,-15.94019852371591,-48.10575213416886,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,True,False,False,False,False,True
Cooperativa mista da agricultura familiar do meio ambiente e da cultura do brasil,COOPBRASIL,Samambaia,-15.888273196213543,-48.167924297823035,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True
Cooperativa mista da agricultura familiar do meio ambiente e da cultura do brasil,COOPBRASIL,Núcleo Bandeirante,-15.955531421279407,-47.93264305083946,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Cooperativa mista da agricultura familiar do meio ambiente e da cultura do brasil,COOPBRASIL,Planaltina,-15.480836250049698,-47.63352713148677,False,False,False,True,True,True,False,False,False,True,True,False,True,True,True,False,True,False,True,True,False,True,False,True,True,False,True,False,False,True,False,True,True,True
Cooperativa mista da agricultura familiar do meio ambiente e da cultura do brasil,COOPBRASIL,Brazlândia,-15.683422573154997,-48.17119961212521,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Cooperativa mista da agricultura familiar do meio ambiente e da cultura do brasil,COOPBRASIL,Ceilândia,-15.794457042884106,-48.24443154256446,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Cooperativa agrícola buriti vermelho,COOPER‑HORTI,Paranoá,-15.739492578308576,-47.64160937907283,True,True,True,False,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,True,True,False,True,False,False,True,True,True,False,False,True,False,False,False
Cooperativa dos produtores rurais de planaltina de goiás e região,PRORURAL,Plano Piloto,-15.808592558336688,-47.919566856022335,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True
Cooperativa dos produtores rurais de planaltina de goiás e região,PRORURAL,Paranoá,-15.760201790322142,-47.68140802829809,False,False,False,True,True,True,False,False,False,True,True,False,False,True,True,False,True,True,True,False,False,True,False,True,False,False,False,False,True,True,False,True,True,True
Cooperativa agropecuária da região de brazlândia,COOPEBRAZ,Brazlândia,-15.680229711329549,-48.19129696202176,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Cooperativa agropecuária da região de brazlândia,COOPEBRAZ,Taguatinga,-15.79198604775903,-48.073220609634184,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Cooperativa agropecuária da região de brazlândia,COOPEBRAZ,Samambaia,-15.867929822620473,-48.18893076946422,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Cooperativa agropecuária da região de brazlândia,COOPEBRAZ,Recanto das Emas,-15.908095038243532,-48.14236215194033,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Cooperativa de agricultura familiar mista do distrito federal,COOPERMISTA,Planaltina,-15.491909318522744,-47.5947999585635,True,True,True,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,True,True,False,True,False,False,False
Cooperativa dos agricultores familiares ecológicos do cerrado,REDE TERRA,Santa Maria,-16.005180112461105,-48.02607959556015,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,True,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
Cooperativa agrícola da região de planaltina,COOTAQUARA,Ceilândia,-15.867811159057172,-48.23501079018999,True,True,True,False,True,False,True,True,False,False,True,True,True,True,True,True,True,False,False,True,True,False,True,True,False,True,True,True,True,True,False,True,True,True
"Cooperativa de serviços ambientais, agricultura familiar, sociedade, cultura e saúde       ",COOPERBRASÍLIA,Sobradinho,-15.562076877111464,-47.83444173384607,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
"Cooperativa de serviços ambientais, agricultura familiar, sociedade, cultura e saúde       ",COOPERBRASÍLIA,São Sebastião,-15.967185379868843,-47.74443051233905,True,False,False,False,False,True,True,True,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False,True,True,False,False,False,False,False,True,False,True,True
